epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.574,1.88679,1.79924,1.6492,0.62091,0.56157,0.57612,0.21963,2.12235,1.87487,1.77364,0.000666242,0.000666242,0.000666242
2,394.693,1.83955,1.72032,1.60799,0.78996,0.68299,0.75649,0.34703,1.82376,1.33937,1.47517,0.00126693,0.00126693,0.00126693
3,559.636,1.76349,1.60286,1.54938,0.79991,0.68231,0.75332,0.3495,1.8171,1.2333,1.48871,0.00180162,0.00180162,0.00180162
4,723.19,1.70141,1.50462,1.50787,0.81537,0.73878,0.80445,0.43136,1.58408,1.03096,1.36403,0.001703,0.001703,0.001703
5,886.599,1.63935,1.39916,1.46764,0.87773,0.79048,0.86761,0.48665,1.50323,0.88249,1.29864,0.001604,0.001604,0.001604
6,1050.07,1.58445,1.31741,1.44136,0.88147,0.8102,0.87435,0.48412,1.50954,0.84287,1.30336,0.001505,0.001505,0.001505
7,1214.23,1.55562,1.26796,1.42663,0.88258,0.81905,0.88324,0.51491,1.433,0.78877,1.25604,0.001406,0.001406,0.001406
8,1380.08,1.51627,1.20685,1.39896,0.90178,0.83694,0.89284,0.51252,1.46935,0.77766,1.25772,0.001307,0.001307,0.001307
9,1541.98,1.49309,1.16014,1.3843,0.87703,0.83946,0.90399,0.53875,1.37108,0.73627,1.2179,0.001208,0.001208,0.001208
10,1704.22,1.45524,1.12435,1.36592,0.9067,0.86735,0.9227,0.5574,1.35036,0.69098,1.20547,0.001109,0.001109,0.001109
11,1891.78,1.48731,0.93257,1.38601,0.90278,0.85646,0.91296,0.54458,1.3375,0.72339,1.20149,0.00101,0.00101,0.00101
12,2055.08,1.44097,0.8779,1.3526,0.89813,0.85578,0.92079,0.57726,1.27257,0.65085,1.16126,0.000911,0.000911,0.000911
13,2218.17,1.411,0.83768,1.33387,0.92099,0.88021,0.93535,0.59261,1.23486,0.62537,1.1375,0.000812,0.000812,0.000812
14,2382.2,1.36877,0.79624,1.31304,0.93142,0.88503,0.94006,0.59883,1.22889,0.61159,1.15075,0.000713,0.000713,0.000713
15,2544.15,1.34473,0.76157,1.29075,0.93988,0.88275,0.94407,0.61158,1.2056,0.58535,1.12844,0.000614,0.000614,0.000614
16,2706.29,1.31347,0.72704,1.27263,0.94653,0.89115,0.94488,0.61729,1.18873,0.56683,1.12329,0.000515,0.000515,0.000515
17,2868.72,1.28091,0.6988,1.25454,0.94279,0.90813,0.95193,0.61482,1.19153,0.54989,1.12164,0.000416,0.000416,0.000416
18,3030.75,1.24992,0.66122,1.23499,0.93635,0.9102,0.95055,0.62099,1.1731,0.54211,1.11872,0.000317,0.000317,0.000317
19,3211.96,1.23002,0.65156,1.22205,0.93129,0.91285,0.95198,0.63075,1.15395,0.53635,1.10796,0.000218,0.000218,0.000218
20,3394.63,1.19536,0.62157,1.20483,0.93384,0.91361,0.95172,0.63438,1.14581,0.52397,1.10295,0.000119,0.000119,0.000119
